importovat (jiný kontext, např. knihovny);I import;I am importing;I imported;I was importing;I will import
spárovat;I pair;I am pairing;I paired;I was pairing;I will pair
stlačit;I compress;I am compressing;I compressed;I was compressing;I will compress
vysunout;I eject;I am ejecting;I ejected;I was ejecting;I will eject
zapnout;I turn on;I am turning on;I turned on;I was turning on;I will turn on
vypnout;I turn off;I am turning off;I turned off;I was turning off;I will turn off
sepnout (např. obvod);I switch on;I am switching on;I switched on;I was switching on;I will switch on
rozepnout (např. obvod);I switch off;I am switching off;I switched off;I was switching off;I will switch off
přehrát (např. video, audio);I play;I am playing;I played;I was playing;I will play
upravit (jiný kontext, např. text);I edit;I am editing;I edited;I was editing;I will edit
prohledat;I scan through;I am scanning through;I scanned through;I was scanning through;I will scan through
přeložit (software, kód);I compile;I am compiling;I compiled;I was compiling;I will compile
reagovat;I respond;I am responding;I responded;I was responding;I will respond
validovat (jiný kontext, např. formulář);I validate;I am validating;I validated;I was validating;I will validate
definovat (jiný kontext, např. funkci);I define;I am defining;I defined;I was defining;I will define
generovat (další kontext, např. výstupní data);I generate;I am generating;I generated;I was generating;I will generate
řadit;I order;I am ordering;I ordered;I was ordering;I will order
dohledávat;I look up;I am looking up;I looked up;I was looking up;I will look up
detekovat;I detect;I am detecting;I detected;I was detecting;I will detect
snímat;I scan;I am scanning;I scanned;I was scanning;I will scan
doplnit;I supplement;I am supplementing;I supplemented;I was supplementing;I will supplement
syntetizovat;I synthesize;I am synthesizing;I synthesized;I was synthesizing;I will synthesize
kódovat;I code;I am coding;I coded;I was coding;I will code
dekódovat;I decode;I am decoding;I decoded;I was decoding;I will decode
reagovat (jiný kontext, např. na událost);I react;I am reacting;I reacted;I was reacting;I will react
konfigurovat;I configure;I am configuring;I configured;I was configuring;I will configure
testovat (jiný kontext, např. software);I test;I am testing;I tested;I was testing;I will test
navázat (jiný kontext, např. spojení);I establish;I am establishing;I established;I was establishing;I will establish
interpretovat (jiný kontext, např. výsledky);I interpret;I am interpreting;I interpreted;I was interpreting;I will interpret
analyzovat (ještě jiný kontext, např. trend);I analyze;I am analyzing;I analyzed;I was analyzing;I will analyze
vytížit;I utilize;I am utilizing;I utilized;I was utilizing;I will utilize
nahradit;I substitute;I am substituting;I substituted;I was substituting;I will substitute
monitorovat;I monitor;I am monitoring;I monitored;I was monitoring;I will monitor
roztřídit;I sort out;I am sorting out;I sorted out;I was sorting out;I will sort out
zorganizovat;I organize;I am organizing;I organized;I was organizing;I will organize
navrhovat (jiný kontext, např. řešení);I propose;I am proposing;I proposed;I was proposing;I will propose
ohodnotit (jiný kontext, např. kvalitu);I assess;I am assessing;I assessed;I was assessing;I will assess
validovat (další kontext, např. data kvality);I validate;I am validating;I validated;I was validating;I will validate
archivovat (další kontext, např. hotový projekt);I archive;I am archiving;I archived;I was archiving;I will archive
simulovat (jiný kontext, např. reálné podmínky);I simulate;I am simulating;I simulated;I was simulating;I will simulate
dodržet;I comply;I am complying;I complied;I was complying;I will comply
zaznamenat;I record;I am recording;I recorded;I was recording;I will record
prokázat;I prove;I am proving;I proved;I was proving;I will prove
zohlednit;I take into account;I am taking into account;I took into account;I was taking into account;I will take into account
zkompletovat;I complete;I am completing;I completed;I was completing;I will complete
uplatnit;I apply;I am applying;I applied;I was applying;I will apply
přizpůsobit;I adapt;I am adapting;I adapted;I was adapting;I will adapt
přeprogramovat;I reprogram;I am reprogramming;I reprogrammed;I was reprogramming;I will reprogram
vyhledávat (opakovaně v databázi);I search;I am searching;I searched;I was searching;I will search
vybírat;I select;I am selecting;I selected;I was selecting;I will select
zlepšovat;I improve;I am improving;I improved;I was improving;I will improve
zkoušet;I try;I am trying;I tried;I was trying;I will try
kontrolovat (jiný kontext, např. parametry);I check;I am checking;I checked;I was checking;I will check
obrátit se (na kolegu);I turn to;I am turning to;I turned to;I was turning to;I will turn to
vyvíjet (projekt);I develop;I am developing;I developed;I was developing;I will develop
změřit (jiný kontext, např. digitálně);I measure;I am measuring;I measured;I was measuring;I will measure
najít;I find;I am finding;I found;I was finding;I will find
rozvinout;I expand;I am expanding;I expanded;I was expanding;I will expand
sdružit;I group;I am grouping;I grouped;I was grouping;I will group
upravit (další kontext, např. parametry stroje);I adjust;I am adjusting;I adjusted;I was adjusting;I will adjust
přepočítat;I recalculate;I am recalculating;I recalculated;I was recalculating;I will recalculate
